::ffff:192.168.2.1 - - [01/May/2025:12:19:56 +0000] "GET /api/estadisticas-actuales HTTP/1.1" 200 86
::ffff:192.168.2.1 - - [01/May/2025:12:20:11 +0000] "POST /api/register HTTP/1.1" 201 47
::ffff:192.168.2.1 - - [01/May/2025:12:20:33 +0000] "POST /api/register HTTP/1.1" 201 47
::ffff:192.168.2.1 - - [01/May/2025:12:20:48 +0000] "POST /api/register HTTP/1.1" 201 47
::ffff:192.168.2.1 - - [01/May/2025:12:22:20 +0000] "POST /api/login HTTP/1.1" 401 36
::ffff:192.168.2.1 - - [01/May/2025:12:22:28 +0000] "POST /api/login HTTP/1.1" 200 258
::ffff:192.168.2.1 - - [01/May/2025:12:22:28 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 891
::ffff:192.168.2.1 - - [01/May/2025:12:22:28 +0000] "GET /api/dashboard-usuario HTTP/1.1" 200 200
::ffff:192.168.2.1 - - [01/May/2025:12:22:28 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 200 568
::ffff:192.168.2.1 - - [01/May/2025:12:22:28 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 200 570
::ffff:192.168.2.1 - - [01/May/2025:12:22:34 +0000] "PUT /api/marcar-notificaciones HTTP/1.1" 200 49
::ffff:192.168.2.1 - - [01/May/2025:12:22:38 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 603
::ffff:192.168.2.1 - - [01/May/2025:12:22:38 +0000] "GET /api/informacion-usuario HTTP/1.1" 200 349
::ffff:192.168.2.1 - - [01/May/2025:12:22:38 +0000] "GET /api/logros-usuario?idUsuario=1 HTTP/1.1" 200 263
::ffff:192.168.2.1 - - [01/May/2025:12:22:39 +0000] "PUT /api/actualizar-logros-usuario HTTP/1.1" 200 47
::ffff:192.168.2.1 - - [01/May/2025:12:22:44 +0000] "GET /api/obtener-maquinas-filtradas?nombreMaquina= HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:44 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:44 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:44 +0000] "GET /api/ranking HTTP/1.1" 200 717
::ffff:192.168.2.1 - - [01/May/2025:12:22:45 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:45 +0000] "GET /api/dashboard-usuario HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:45 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:45 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 304 -
::ffff:192.168.2.1 - - [01/May/2025:12:22:51 +0000] "POST /api/login HTTP/1.1" 200 262
::ffff:192.168.2.1 - - [01/May/2025:12:22:52 +0000] "GET /api/dashboard-usuario HTTP/1.1" 200 194
::ffff:192.168.2.1 - - [01/May/2025:12:22:52 +0000] "GET /api/notificaciones-usuario HTTP/1.1" 200 808
::ffff:192.168.2.1 - - [01/May/2025:12:22:52 +0000] "GET /api/maquinas-recomendadas?rango=Principiante HTTP/1.1" 200 712
::ffff:192.168.2.1 - - [01/May/2025:12:22:52 +0000] "GET /api/maquinas-en-progreso HTTP/1.1" 404 43
